id,idade,genero,renda_mensal,cidade,produto_favorito,comprou_promo,frequencia_visitas,valor_total_gasto
220,53.0,F,3128.0,São Paulo,arroz,Sim,7,245
221,47.0,,2589.0,Curitiba,feijao,Não,5,125
222,63.0,M,4777.0,São Paulo,oleo,Não,6,216
223,30.0,M,5738.0,Belo Horizonte,acucar,Não,9,198
224,45.0,M,3482.0,Belo Horizonte,acucar,Sim,10,430
225,47.0,F,1298.0,São Paulo,oleo,Sim,3,285
226,47.0,M,6341.0,Belo Horizonte,arroz,Sim,10,550
227,23.0,F,,Belo Horizonte,oleo,Não,4,204
228,35.0,F,2125.0,São Paulo,oleo,Não,2,160
229,50.0,,7991.0,São Paulo,feijao,Não,4,88
230,32.0,M,,São Paulo,cafe,Não,7,392
231,49.0,F,6333.0,Salvador,acucar,Não,1,41
232,26.0,F,4662.0,Curitiba,cafe,Não,9,810
233,48.0,F,1905.0,Rio,arroz,Sim,9,882
234,,M,,São Paulo,arroz,Não,5,220
235,47.0,,1401.0,Rio,feijao,Não,6,468
236,,M,3904.0,Rio,arroz,Não,1,22
237,46.0,F,6235.0,Belo Horizonte,feijao,Sim,7,399
238,55.0,F,6513.0,Salvador,acucar,Não,4,128
239,37.0,M,,Rio,acucar,Sim,7,287
240,18.0,M,2633.0,Rio,oleo,Não,10,220
241,32.0,F,6877.0,São Paulo,cafe,Sim,7,224
242,52.0,M,7083.0,Salvador,cafe,Não,3,63
243,55.0,M,2982.0,Rio,acucar,Sim,2,122
244,56.0,F,6131.0,São Paulo,oleo,Sim,2,104
245,18.0,M,,São Paulo,oleo,Não,6,504
246,45.0,M,7452.0,São Paulo,acucar,Não,2,72
247,30.0,F,5914.0,São Paulo,oleo,Sim,7,343
248,43.0,F,4456.0,Salvador,oleo,Sim,7,546
249,,,4046.0,Belo Horizonte,cafe,Não,4,284
250,37.0,M,4698.0,Salvador,feijao,Sim,3,180
251,31.0,,2665.0,Rio,feijao,Não,2,56
252,27.0,,4884.0,Rio,arroz,Sim,4,248
253,62.0,M,4515.0,Rio,arroz,Sim,2,120
254,34.0,F,4417.0,Belo Horizonte,feijao,Sim,1,26
255,22.0,M,5628.0,São Paulo,cafe,Sim,3,159
256,50.0,F,4523.0,Belo Horizonte,oleo,Não,7,595
257,,F,6272.0,Salvador,oleo,Sim,2,80
258,57.0,,3797.0,Belo Horizonte,acucar,Sim,8,408
259,,M,1772.0,Salvador,cafe,Sim,10,310
260,31.0,M,7449.0,São Paulo,,Sim,10,720
261,,M,5467.0,Salvador,oleo,Não,8,568
262,65.0,F,1584.0,São Paulo,arroz,Sim,4,352
263,26.0,M,5348.0,Salvador,oleo,Sim,6,504
264,26.0,M,7995.0,Rio,arroz,Sim,6,312
265,19.0,F,6510.0,Belo Horizonte,cafe,Não,3,150
266,27.0,F,5727.0,Belo Horizonte,feijao,Sim,1,59
267,19.0,F,3887.0,Curitiba,oleo,Sim,4,336
268,29.0,F,6617.0,Salvador,cafe,Sim,1,39
269,42.0,M,3721.0,Salvador,acucar,Não,2,134
270,26.0,M,3462.0,São Paulo,oleo,Sim,7,693
271,40.0,M,4042.0,Curitiba,cafe,Sim,10,580
272,48.0,F,6498.0,Belo Horizonte,oleo,Sim,5,320
273,35.0,F,2830.0,Salvador,feijao,Sim,10,590
274,30.0,M,5943.0,Belo Horizonte,,Não,7,294
275,,,5521.0,Salvador,acucar,Sim,7,511
276,53.0,,1234.0,Curitiba,oleo,Sim,9,180
277,,M,4234.0,Curitiba,cafe,Sim,2,86
278,30.0,M,5337.0,Rio,cafe,Sim,2,122
279,22.0,F,2907.0,Curitiba,arroz,Sim,1,96
280,32.0,F,3214.0,Belo Horizonte,feijao,Não,10,300
281,51.0,M,4982.0,Salvador,cafe,Não,1,48
282,42.0,M,1680.0,Salvador,oleo,Sim,5,180
283,40.0,F,,São Paulo,feijao,Não,8,776
284,42.0,M,7544.0,Rio,acucar,Sim,5,455
285,50.0,M,3904.0,São Paulo,cafe,Não,8,688
286,20.0,M,,Rio,cafe,Não,2,166
287,39.0,F,6997.0,Curitiba,arroz,Sim,8,712
288,62.0,M,2797.0,Rio,,Não,2,96
289,48.0,F,1405.0,Rio,arroz,Não,6,594
290,62.0,F,,Belo Horizonte,acucar,Sim,5,345
291,24.0,F,4559.0,Salvador,cafe,Sim,9,612
292,41.0,M,1644.0,Salvador,oleo,Não,7,140
293,27.0,,2740.0,Rio,oleo,Sim,3,249
294,43.0,F,6306.0,São Paulo,cafe,Sim,1,54
295,27.0,M,3459.0,São Paulo,arroz,Sim,6,510
296,34.0,M,,São Paulo,acucar,Sim,3,177
297,28.0,M,,Belo Horizonte,acucar,Não,2,132
298,50.0,M,6082.0,Salvador,acucar,Sim,3,288
299,63.0,F,5753.0,Belo Horizonte,cafe,Não,1,97
300,59.0,F,4549.0,Salvador,acucar,Sim,4,80
301,65.0,M,4988.0,Salvador,acucar,Sim,4,208
302,,M,2423.0,Curitiba,acucar,Sim,5,365
303,49.0,M,1320.0,São Paulo,cafe,Não,7,294
304,26.0,M,5765.0,São Paulo,feijao,Sim,1,38
305,22.0,F,6134.0,Curitiba,cafe,Não,6,510
306,63.0,F,4856.0,Curitiba,cafe,Sim,9,207
307,36.0,F,6350.0,Rio,feijao,Sim,8,400
308,42.0,F,7688.0,Curitiba,oleo,Sim,6,324
309,33.0,F,7727.0,Salvador,feijao,Sim,8,168
310,62.0,F,4344.0,São Paulo,feijao,Sim,6,564
311,,F,2385.0,Curitiba,acucar,Não,8,504
312,31.0,F,5262.0,São Paulo,feijao,Não,6,246
313,28.0,M,5808.0,Rio,cafe,Sim,6,450
314,,M,1351.0,Belo Horizonte,arroz,Sim,7,154
315,26.0,F,5415.0,Salvador,feijao,Sim,6,312
316,49.0,F,5633.0,Salvador,arroz,Sim,5,155
317,28.0,F,7858.0,Rio,acucar,Sim,2,160
318,21.0,,,São Paulo,feijao,Sim,4,328
319,30.0,M,5334.0,Rio,feijao,Sim,5,125
320,38.0,M,1575.0,Curitiba,feijao,Sim,10,670
321,64.0,,6617.0,Curitiba,,Sim,9,828
322,28.0,M,7887.0,São Paulo,oleo,Sim,4,256
323,46.0,F,6012.0,Curitiba,feijao,Sim,5,380
324,20.0,M,5073.0,São Paulo,oleo,Sim,7,616
325,43.0,M,5126.0,São Paulo,,Não,3,87
326,56.0,M,6765.0,São Paulo,cafe,Não,3,165
327,29.0,M,5906.0,Belo Horizonte,,Não,3,63
328,62.0,M,2480.0,Belo Horizonte,acucar,Sim,2,46
329,58.0,F,1959.0,Curitiba,cafe,Sim,3,75
330,30.0,F,6272.0,São Paulo,feijao,Sim,3,135
331,41.0,M,,Belo Horizonte,acucar,Sim,4,160
332,65.0,,7739.0,Belo Horizonte,arroz,Não,6,174
333,35.0,,,Belo Horizonte,feijao,Não,1,32
334,24.0,,3718.0,Belo Horizonte,arroz,Sim,1,44
335,19.0,F,,Rio,arroz,Não,7,175
336,,F,1689.0,Rio,oleo,Não,6,390
337,20.0,F,7059.0,Rio,feijao,Não,8,672
338,60.0,M,1343.0,Belo Horizonte,feijao,Sim,7,448
339,24.0,M,1219.0,Salvador,arroz,Não,3,129
340,20.0,M,1776.0,Belo Horizonte,oleo,Sim,5,300
341,40.0,,2930.0,Curitiba,oleo,Sim,2,148
342,62.0,M,4560.0,Salvador,cafe,Sim,9,441
343,64.0,F,,Belo Horizonte,,Sim,8,368
344,64.0,F,1715.0,Belo Horizonte,acucar,Sim,4,128
345,,F,,São Paulo,feijao,Não,6,198
346,54.0,F,3386.0,Salvador,acucar,Sim,8,784
347,47.0,M,7400.0,Rio,acucar,Sim,2,44
348,61.0,M,4824.0,Rio,oleo,Sim,3,219
349,54.0,M,7490.0,Belo Horizonte,oleo,Não,3,270
350,22.0,F,7937.0,Belo Horizonte,oleo,Não,1,40
351,34.0,M,7349.0,Rio,acucar,Sim,3,258
352,19.0,F,4390.0,Rio,feijao,Não,5,235
353,35.0,F,,Salvador,feijao,Não,7,357
354,34.0,M,4738.0,Curitiba,feijao,Sim,7,287
355,44.0,,3802.0,Belo Horizonte,feijao,Não,7,343
356,65.0,,1320.0,Belo Horizonte,cafe,Sim,5,205
357,64.0,M,,Curitiba,,Não,4,324
358,56.0,M,2186.0,Curitiba,oleo,Não,4,100
359,18.0,F,2363.0,Salvador,oleo,Sim,1,46
360,46.0,M,5265.0,Curitiba,acucar,Sim,5,170
361,33.0,F,2876.0,Belo Horizonte,feijao,Sim,3,96
362,50.0,M,,Salvador,cafe,Não,1,50
363,,M,1207.0,Belo Horizonte,arroz,Não,1,91
364,,M,2737.0,Salvador,cafe,Sim,7,294
365,37.0,F,6705.0,Curitiba,,Não,6,402
366,40.0,F,1229.0,Belo Horizonte,oleo,Sim,8,376
367,28.0,M,,Rio,feijao,Sim,6,486
368,65.0,M,,Salvador,cafe,Sim,7,385
369,39.0,F,3145.0,Rio,acucar,Sim,4,148
370,46.0,M,5465.0,Belo Horizonte,cafe,Sim,4,196
371,33.0,,,Salvador,arroz,Não,10,430
372,,F,3755.0,Belo Horizonte,cafe,Sim,1,66
373,52.0,F,6870.0,São Paulo,,Não,9,702
374,56.0,M,7762.0,Salvador,oleo,Sim,6,582
375,36.0,M,3914.0,Salvador,arroz,Sim,9,522
376,21.0,F,4036.0,Rio,feijao,Sim,5,265
377,34.0,M,3107.0,Curitiba,oleo,Sim,9,261
378,50.0,M,4012.0,São Paulo,cafe,Não,2,116
379,52.0,F,,Salvador,oleo,Sim,7,168
380,50.0,F,6290.0,São Paulo,cafe,Sim,1,63
381,19.0,F,1725.0,Salvador,acucar,Sim,8,768
382,35.0,M,5273.0,Salvador,oleo,Não,1,25
383,42.0,,,Curitiba,oleo,Não,7,385
384,45.0,M,2454.0,São Paulo,cafe,Sim,8,656
385,42.0,F,4019.0,Belo Horizonte,feijao,Sim,1,49
386,44.0,M,4307.0,São Paulo,cafe,Não,8,328
387,25.0,F,7593.0,Rio,cafe,Não,5,115
388,18.0,F,7186.0,São Paulo,acucar,Sim,4,148
389,19.0,M,5825.0,Rio,arroz,Não,2,44
390,24.0,M,4506.0,Belo Horizonte,arroz,Sim,5,475
391,54.0,F,1350.0,Salvador,arroz,Não,7,658
392,49.0,F,2956.0,Rio,,Sim,1,55
393,64.0,F,6801.0,Belo Horizonte,,Sim,6,480
394,31.0,F,6815.0,Belo Horizonte,acucar,Não,9,405
395,61.0,F,3881.0,Belo Horizonte,arroz,Sim,7,455
396,38.0,,2708.0,Rio,cafe,Não,5,260
397,49.0,,4634.0,São Paulo,acucar,Sim,3,186
398,37.0,M,7719.0,Belo Horizonte,arroz,Sim,2,100
399,,M,5308.0,Rio,oleo,Sim,8,520
400,31.0,F,7565.0,Curitiba,arroz,Não,10,590
401,48.0,F,7173.0,Rio,feijao,Sim,7,672
402,50.0,F,7889.0,Curitiba,feijao,Sim,9,180
403,25.0,F,1992.0,Rio,cafe,Sim,1,60
404,,F,,São Paulo,acucar,Sim,3,261
405,42.0,M,2280.0,Curitiba,acucar,Não,4,160
406,32.0,M,4409.0,Salvador,,Não,5,370
407,34.0,,6965.0,Belo Horizonte,oleo,Não,5,235
408,32.0,F,5736.0,Rio,arroz,Sim,6,468
409,32.0,M,,Curitiba,,Não,6,468
410,51.0,M,7293.0,Salvador,arroz,Sim,5,435
411,53.0,F,2455.0,São Paulo,cafe,Sim,1,28
412,52.0,,3646.0,Salvador,cafe,Não,5,315
413,33.0,M,5088.0,Belo Horizonte,arroz,Sim,9,513
414,25.0,F,7973.0,Belo Horizonte,feijao,Sim,7,371
415,18.0,F,7348.0,Belo Horizonte,feijao,Sim,5,200
416,60.0,F,7794.0,Rio,,Não,3,123
417,62.0,F,3810.0,Curitiba,feijao,Sim,10,350
418,21.0,M,1419.0,Curitiba,arroz,Não,3,138
419,52.0,M,5888.0,São Paulo,feijao,Sim,2,148
420,49.0,M,7519.0,São Paulo,arroz,Sim,6,300
421,56.0,F,2088.0,Curitiba,arroz,Sim,2,94
422,52.0,F,2739.0,Salvador,,Não,2,148
423,40.0,M,5342.0,Curitiba,cafe,Sim,1,89
424,37.0,M,7114.0,Rio,feijao,Sim,2,50
425,56.0,F,7951.0,São Paulo,acucar,Não,7,252
426,23.0,F,4750.0,Salvador,acucar,Não,7,462
427,49.0,M,,Belo Horizonte,feijao,Sim,2,190
428,24.0,F,,Salvador,cafe,Não,7,385
429,36.0,M,6755.0,São Paulo,arroz,Sim,10,820
430,40.0,F,3473.0,Salvador,cafe,Sim,3,141
431,39.0,F,2005.0,Rio,acucar,Sim,7,280
432,49.0,,4841.0,Curitiba,feijao,Não,9,333
433,22.0,F,5839.0,Belo Horizonte,arroz,Sim,7,700
434,37.0,M,4387.0,Salvador,acucar,Sim,8,520
435,57.0,,6880.0,Rio,arroz,Sim,8,472
436,43.0,M,2518.0,Belo Horizonte,arroz,Não,3,189
437,65.0,M,5446.0,Curitiba,arroz,Sim,9,702
438,,F,7637.0,Salvador,,Sim,1,96
439,52.0,F,2101.0,Rio,acucar,Não,3,279
440,,M,4768.0,Curitiba,arroz,Sim,6,336
441,49.0,M,2075.0,Belo Horizonte,feijao,Não,9,423
442,41.0,F,2178.0,São Paulo,arroz,Não,2,188
443,51.0,F,5254.0,Rio,cafe,Não,10,330
444,43.0,M,,Salvador,,Sim,4,272
445,42.0,M,2677.0,Rio,oleo,Sim,8,472
446,30.0,M,3335.0,Salvador,oleo,Não,1,30
447,29.0,F,,Belo Horizonte,acucar,Não,10,900
448,63.0,F,,Rio,feijao,Não,5,295
449,30.0,F,3477.0,Salvador,cafe,Não,4,308
450,33.0,F,6938.0,São Paulo,acucar,Sim,5,140
451,21.0,F,1818.0,Rio,acucar,Não,7,343
452,35.0,M,3973.0,São Paulo,oleo,Sim,2,80
453,25.0,F,1994.0,Belo Horizonte,arroz,Sim,10,590
454,43.0,F,7183.0,Rio,acucar,Sim,7,490
455,24.0,F,1802.0,Curitiba,feijao,Sim,10,210
456,19.0,F,2487.0,Belo Horizonte,oleo,Não,7,553
457,46.0,F,7383.0,São Paulo,feijao,Não,1,65
458,30.0,F,5902.0,Curitiba,cafe,Sim,4,108
459,30.0,F,4768.0,Curitiba,,Sim,1,76
460,52.0,M,6875.0,Curitiba,arroz,Sim,7,602
461,42.0,M,5800.0,São Paulo,,Não,6,126
462,43.0,M,4675.0,Curitiba,,Não,3,123
463,54.0,M,5091.0,São Paulo,,Sim,2,188
464,49.0,M,5370.0,Rio,acucar,Não,7,539
465,55.0,M,,Belo Horizonte,arroz,Sim,7,245
466,28.0,M,,São Paulo,acucar,Não,9,630
467,31.0,F,2432.0,Curitiba,arroz,Não,1,40
468,32.0,F,,Salvador,arroz,Sim,9,576
469,,M,5876.0,Salvador,cafe,Sim,5,410
470,31.0,F,2759.0,Rio,oleo,Não,4,120
